% energy,cross section
4898820,1.19265
4906430,1.21053
4921400,1.21768
4924700,1.22034
4928000,1.2385
4931300,1.28996
4932600,1.30918
4933900,1.36469
4934600,1.43242
4935200,1.5412
4935900,1.70124
4936600,1.92367
4937000,2.02952
4937400,2.01977
4937900,1.92538
4938300,1.77683
4939200,1.4422
4939700,1.31761
4940100,1.26266
4942800,1.21494
4945500,1.18763
4948200,1.17712
4950900,1.1798
4955100,1.17942
4959400,1.16401
4963600,1.14993
4964560,1.15074
4967800,1.15464
4975300,1.16386
4982800,1.14408
5000000,1.1349
5005830,1.13179
5025000,1.12064
5047110,1.11157
5075000,1.09894
5088380,1.09167
5125000,1.07044
5129660,1.06774
5175000,1.03948
5202700,1.02834
5212210,1.01894
5217100,1.01391
5231400,1.00011
5245700,0.98801
5260000,0.9785
5276900,0.96702
5293700,0.95396
5294760,0.95321
5310500,0.94181
5327400,0.93392
5333100,0.95103
5338800,1.00325
5344500,1.08757
5350200,1.20119
5354800,1.36608
5359300,1.58819
5363900,1.76367
5366200,1.80161
5368400,1.78898
5373500,1.68085
5378600,1.55741
5383600,1.438
5388700,1.34196
5399200,1.21212
5409700,1.13388
5420200,1.08913
5430800,1.06026
5447400,1.02494
5459860,1.00759
5464000,1.00192
5474740,0.99236
5480500,0.98724
5497100,0.97643
5525000,0.95576
5542410,0.94639
5575000,0.93034
5624960,0.90782
5625000,0.9078
5675000,0.89125
5721870,0.88003
5725000,0.87914
5775000,0.87171
5818780,0.86274
5825000,0.86141
5875000,0.85057
5925000,0.84749
5975000,0.84321
6000000,0.84176
6012590,0.84103
6025000,0.84094
6075000,0.8449
6109500,0.84617
6111100,0.84635
6131200,0.86975
6151300,0.88035
6171400,0.89696
6180750,0.91626
6191500,0.93845
6200700,0.96048
6206410,0.97286
6209900,0.98077
6219000,1.01254
6228200,1.06811
6236200,1.13868
6244100,1.22855
6252100,1.34253
6260100,1.4856
6268700,1.72577
6277300,2.02804
6285800,2.27811
6290100,2.34779
6294400,2.36168
6299400,2.30236
6303310,2.20819
6304400,2.18209
6314500,1.83917
6324500,1.49224
6329600,1.36719
6334600,1.30133
6338400,1.27981
6342300,1.26451
6346100,1.2613
6350000,1.27609
6355100,1.28764
6360300,1.2604
6370700,1.13333
6381000,0.98264
6386200,0.9259
6391300,0.89605
6400220,0.87857
6423300,0.83678
6455200,0.80512
6487100,0.79265
6515070,0.79233
6519000,0.79258
6535000,0.752
6551000,0.65857
6558080,0.61605
6566900,0.56309
6574900,0.53049
6582900,0.51646
6596800,0.51632
6610700,0.52822
6624600,0.55689
6629930,0.57623
6638400,0.60669
6648500,0.64143
6658500,0.65886
6678600,0.65943
6698700,0.64332
6718800,0.64547
6737800,0.65487
6744780,0.65273
6756700,0.64796
6775600,0.63921
6794500,0.64321
6802210,0.6437
6859630,0.6416
6875000,0.63945
6899110,0.63381
6925000,0.62559
6938590,0.62107
6975000,0.605
7000000,0.58693
7017560,0.57423
7018400,0.57352
7052900,0.56766
7087300,0.55912
7096520,0.55864
7121800,0.55523
7156300,0.56685
7175480,0.5834
7189300,0.59455
7222300,0.65094
7255300,0.76229
7265470,0.81416
7271800,0.84554
7288300,0.95043
7308400,1.11956
