% energy,cross section
1.30014,23.81039
1.30648,23.57059
1.31909,23.1497
1.32581,22.86101
1.3315,22.56083
1.33839,22.1341
1.34873,21.41112
1.36251,20.42372
1.37285,19.74154
1.37974,19.32901
1.38663,18.95187
1.39696,18.44912
1.4073,18.01374
1.41764,17.63562
1.42453,17.41068
1.43831,17.01508
1.45353,16.6465
1.46889,16.33078
1.48962,15.97245
1.51063,15.66775
1.53194,15.40301
1.56444,15.06022
1.60889,14.67042
1.66628,14.25305
1.72563,13.89148
1.78719,13.58814
1.8251,13.45271
1.86283,13.3892
1.86523,13.38895
1.88981,13.4282
1.90943,13.54323
1.92245,13.69117
1.9339,13.89901
1.94281,14.13755
1.95044,14.42053
1.95808,14.80582
1.96316,15.13839
1.96825,15.54793
1.97334,16.05046
1.97843,16.66246
1.98352,17.39877
1.98861,18.26934
1.9937,19.27509
1.99879,20.40346
2.00897,22.88829
2.0166,24.71167
2.0208,25.58902
2.02411,26.17655
2.02831,26.75407
2.0319,27.07343
2.03554,27.21652
2.03661,27.22265
2.04043,27.11031
2.04409,26.81142
2.04663,26.50015
2.0507,25.84516
2.05478,25.02903
2.05987,23.84632
2.07259,20.61951
2.07768,19.40114
2.08277,18.29157
2.08786,17.31062
2.09295,16.46322
2.09804,15.74359
2.10313,15.13938
2.10822,14.63523
2.11331,14.21522
2.1184,13.86452
2.12603,13.44055
2.13366,13.1087
2.14435,12.75181
2.1525,12.53877
2.16768,12.23034
2.18286,11.99677
2.20596,11.72544
2.22927,11.51146
2.27656,11.16984
2.39103,10.5042
2.45635,10.10947
2.50404,9.76754
2.53582,9.49272
2.56761,9.16033
2.59145,8.85987
2.61529,8.50541
2.63119,8.23773
2.67092,7.52152
2.68284,7.34538
2.69079,7.26212
2.69913,7.22011
2.70132,7.21887
2.70787,7.24462
2.71403,7.31549
2.7194,7.42005
2.72476,7.56931
2.73052,7.78381
2.73648,8.06828
2.74244,8.41808
2.749,8.87727
2.75496,9.35832
2.76152,9.94919
2.76867,10.65316
2.78377,12.25145
2.79549,13.48908
2.80681,14.59461
2.81436,15.25679
2.82191,15.85041
2.82986,16.40021
2.83781,16.87729
2.84973,17.47522
2.86125,17.94948
2.8839,18.71492
2.9141,19.69567
2.92916,20.26942
2.94422,20.94732
2.95924,21.76206
2.9705,22.48743
2.98218,23.3658
2.99407,24.41786
3.00596,25.66107
3.01388,26.61429
3.02181,27.68126
3.02973,28.875
3.03766,30.20859
3.04558,31.69424
3.05351,33.34166
3.06143,35.15583
3.06936,37.13398
3.08006,40.03714
3.10581,47.50376
3.11374,49.6247
3.12166,51.47128
3.12761,52.60256
3.13252,53.33453
3.13704,53.82264
3.14282,54.16398
3.14572,54.20829
