%energy,cross section
3.19695,15.24351
3.22073,12.50907
3.22865,11.63796
3.23658,10.82671
3.2445,10.08689
3.25243,9.42363
3.25837,8.97678
3.26432,8.57215
3.27026,8.20794
3.2762,7.88195
3.28413,7.5025
3.29205,7.18074
3.29998,6.91105
3.3079,6.68826
3.31583,6.5079
3.32375,6.36613
3.33168,6.25983
3.3396,6.18651
3.34753,6.14434
3.35466,6.13194
3.36259,6.14593
3.37051,6.18896
3.37844,6.26142
3.38636,6.36426
3.39429,6.49908
3.40221,6.66816
3.41014,6.87455
3.41806,7.12224
3.42711,7.46206
3.43314,7.7269
3.43917,8.02642
3.44459,8.32847
3.4518,8.78506
3.459,9.31373
3.4638,9.71228
3.46861,10.15276
3.47341,10.64022
3.47821,11.18043
3.48302,11.78005
3.48782,12.44665
3.49262,13.18887
3.49743,14.01648
3.50223,14.94045
3.50703,15.97293
3.51184,17.12721
3.51544,18.08139
3.51904,19.11835
3.52264,20.24442
3.52625,21.46588
3.52985,22.78873
3.53345,24.21844
3.53705,25.75969
3.54066,27.41596
3.54546,29.80635
3.55026,32.40344
3.55507,35.19811
3.55987,38.17141
3.56708,42.89651
3.58004,51.70004
3.58677,56.03879
3.59253,59.40214
3.59734,61.83751
3.60192,63.76978
3.60629,65.19437
3.61035,66.1139
3.61439,66.61752
3.61751,66.71723
3.62111,66.51539
3.62471,65.97853
3.62832,65.11834
3.63192,63.95323
3.6366,62.0235
3.64117,59.75038
3.64573,57.15998
3.65257,52.84357
3.67146,40.09305
3.67675,36.70551
3.68205,33.51345
3.68734,30.54941
3.69138,28.45192
3.69556,26.43527
3.69973,24.57315
3.70391,22.86114
3.70809,21.29247
3.71227,19.85878
3.71611,18.65094
3.72029,17.44974
3.72385,16.50948
3.72842,15.40874
3.7326,14.49477
3.73678,13.66056
3.74137,12.8256
3.74597,12.068
3.74903,11.60165
3.7546,10.82476
3.76017,10.12932
3.76575,9.50494
3.77132,8.9428
3.77689,8.43535
3.78246,7.97616
3.78803,7.5597
3.7936,7.18119
3.79917,6.83646
3.80474,6.52187
3.8131,6.09964
3.82145,5.72891
3.82981,5.40201
3.83816,5.11252
3.84652,4.8551
3.85488,4.62528
3.86323,4.41932
3.87159,4.23407
3.88273,4.01476
3.89387,3.82243
3.90501,3.6529
3.91615,3.5028
3.92729,3.36936
3.94178,3.21709
3.95626,3.0851
3.97548,2.93585
3.9947,2.81085
4.01458,2.70235
4.03578,2.60579
4.05698,2.52566
4.07838,2.45885
4.09272,2.42095
4.12139,2.35936
4.15046,2.31363
4.17953,2.2826
4.20493,2.26648
4.23034,2.26012
4.26018,2.26484
4.29002,2.28285
4.32028,2.31554
4.35054,2.36438
4.37356,2.41387
4.39658,2.47567
4.4197,2.55227
4.44304,2.64725
4.46639,2.76398
4.48206,2.85719
4.49784,2.96554
4.51362,3.09112
4.5294,3.23735
4.54129,3.36379
4.55329,3.50822
4.56529,3.67249
4.5773,3.8603
4.5893,4.07629
4.6013,4.32632
4.60942,4.51836
4.61753,4.73225
4.62564,4.97146
4.63376,5.24026
4.64187,5.54387
4.64999,5.88877
4.65607,6.17938
4.66216,6.50198
4.66898,6.90812
4.67452,7.2778
4.68005,7.68979
4.68559,8.1512
4.69112,8.67077
4.69527,9.10506
4.69942,9.58369
4.70358,10.11326
4.70773,10.70167
4.71049,11.13123
4.71443,11.80059
4.71836,12.54867
4.7223,13.38833
4.72525,14.08722
4.7282,14.85353
4.73115,15.69564
4.7341,16.62294
4.73705,17.64599
4.74,18.7765
4.74304,20.06515
4.74624,21.58089
4.74944,23.27605
4.75265,25.17239
4.75478,26.55984
4.75692,28.05429
4.75905,29.66319
4.7613,31.48879
4.76355,33.45859
4.7658,35.58154
4.76805,37.86643
4.77029,40.3218
4.77254,42.95565
4.77479,45.7754
4.77704,48.78755
4.78041,53.67823
4.78378,59.02659
4.78716,64.83702
4.79053,71.10373
4.7939,77.80906
4.79727,84.92195
4.80177,94.9587
4.80851,110.87381
4.81751,132.5342
4.822,142.93002
4.8265,152.61913
4.831,161.28047
4.83504,167.94355
4.83808,172.11024
4.84134,175.69982
4.84471,178.37183
4.84808,179.92639
4.85071,180.3401
4.85426,179.77771
4.85752,178.14094
4.85977,176.40513
4.86337,172.64688
4.86697,167.76707
4.87034,162.2804
4.87371,156.02889
4.87821,146.72311
4.8827,136.5985
4.89727,101.86043
4.90206,90.87666
4.90685,80.51965
4.91058,72.99757
4.91377,66.96261
4.91697,61.32782
4.92016,56.10133
4.92335,51.28289
4.92548,48.29388
4.92797,45.02689
4.93045,41.98982
4.93293,39.1737
4.93542,36.56844
4.9379,34.16312
4.94039,31.94634
4.94287,29.90635
4.94535,28.03138
4.94801,26.19232
4.95068,24.51528
4.95334,22.9867
4.956,21.59373
4.95866,20.32419
4.96132,19.16671
4.96398,18.11073
4.96664,17.14651
4.96931,16.26513
4.97197,15.45846
4.97498,14.62523
4.97871,13.70108
4.98243,12.87831
4.98616,12.14322
4.98989,11.48412
4.99361,10.89102
4.99734,10.3554
5.00106,9.87002
5.00603,9.29047
5.011,8.77718
5.01526,8.3824
5.02058,7.93932
5.0259,7.54453
5.03122,7.19122
5.03477,6.97591
5.04187,6.58754
5.04897,6.24783
5.05606,5.94923
5.06316,5.68564
5.07026,5.45213
5.0792,5.19453
5.08814,4.97169
5.09708,4.77837
5.10602,4.61033
5.11496,4.46413
5.12838,4.2798
5.14179,4.13092
5.15539,4.01036
5.16899,3.91596
5.18259,3.84434
5.19619,3.79293
5.2098,3.75988
5.22178,3.74497
5.22922,3.74216
5.24838,3.75745
5.26116,3.78609
5.27393,3.83071
5.28742,3.89751
5.30161,3.99443
5.31225,4.09006
5.3229,4.2118
5.33,4.31179
5.33709,4.4311
5.34486,4.58967
5.35004,4.71548
5.35522,4.86075
5.3604,5.02888
5.36559,5.22367
5.37077,5.44926
5.37595,5.70999
5.38138,6.0256
5.38578,6.31633
5.39046,6.66266
5.39514,7.04866
5.40025,7.51574
5.40558,8.0522
5.4109,8.63567
5.41799,9.47378
5.43503,11.58716
5.44248,12.43796
5.44715,12.90833
5.45152,13.28915
5.45589,13.60145
5.46025,13.83601
5.46505,13.99562
5.46961,14.04737
5.4742,13.99927
5.4785,13.86446
5.48136,13.72833
5.48624,13.41791
5.49111,13.01842
5.49685,12.45411
5.50258,11.81319
5.51405,10.41222
5.52265,9.35705
5.52839,8.68987
5.53412,8.06826
5.53986,7.50108
5.54416,7.11429
5.54846,6.76127
5.55276,6.4416
5.55706,6.15411
5.56136,5.89705
5.56566,5.66831
5.5714,5.40331
5.57713,5.1787
5.58287,4.98884
5.58908,4.81644
5.59528,4.67269
5.60149,4.55253
5.6108,4.40749
5.62011,4.29509
5.62942,4.20738
5.63937,4.1346
5.65307,4.06149
5.66676,4.01257
